,log2FC,symbol
138639,1.1614413802499994,PTPDC1
79228,1.1609792995000001,THOC6
401647,1.1594878637500003,GOLGA7B
2583,1.1591132859999993,B4GALNT1
4775,1.1565861887500004,NFATC3
80345,1.15339501475,ZSCAN16
6624,1.15306467075,FSCN1
7163,1.15236998425,TPD52
516,1.1483607262500009,ATP5MC1
3418,1.1472499822500009,IDH2
730051,1.1469958235000002,ZNF814
80264,1.1455159262499999,ZNF430
90141,1.1450783719999995,EFCAB11
5725,1.144264077999999,PTBP1
10465,1.144060564000002,PPIH
7515,1.1438181939999996,XRCC1
1075,1.143051903,CTSC
8458,1.1427427024999997,TTF2
1017,1.1419650290000005,CDK2
1434,1.1402448120000024,CSE1L
5501,1.1401237850000001,PPP1CC
220988,1.1398152177499998,HNRNPA3
1491,1.1375682327499996,CTH
81579,1.1365293730000001,PLA2G12A
152002,1.1355171239999997,XXYLT1
83858,1.1353520972499997,ATAD3B
290,1.1328363595000006,ANPEP
10528,1.1286217202500008,NOP56
3516,1.1248909300000012,RBPJ
7837,1.1246989125000013,PXDN
